WKT,name,description
"POINT (-85.7607886 38.2132227)",Point 1,JB Speed
"POINT (-85.7607778 38.2133091)",Point 2,
"POINT (-85.7610809 38.2133386)",Point 3,
"POINT (-85.7605579 38.2132838)",Point 4,
"POINT (-85.7609736 38.2133344)",Point 5,
"POINT (-85.7604774 38.2132754)",Point 6,
"POINT (-85.760295 38.2132501)",Point 7,
"POINT (-85.7612499 38.2133576)",Point 8,
"POINT (-85.7610782 38.2134208)",Point 9,
"POINT (-85.7612284 38.2134619)",Point 10,
"POINT (-85.7605325 38.2133396)",Point 11,
"POINT (-85.7610144 38.2133881)",Point 12,
"POINT (-85.7602674 38.2133828)",Point 13,
"POINT (-85.7608209 38.2133689)",Point 14,
"POINT (-85.7607163 38.2133615)",Point 15,
"POINT (-85.7605058 38.2134658)",Point 16,
"POINT (-85.7609903 38.2135059)",Point 17,
"POINT (-85.760904 38.2134703)",Point 18,
"POINT (-85.7606049 38.2134313)",Point 19,
"POINT (-85.7612155 38.2135297)",Point 20,
"POINT (-85.7610911 38.2132696)",Point 21,JB Speed West
"POINT (-85.7604944 38.2132021)",Point 22,JB Speed East
"POINT (-85.7599897 38.2133807)",Point 23,
"POINT (-85.7599884 38.2132158)",Point 24,WS Speed West1
"POINT (-85.761314 38.2130195)",Point 25,
"POINT (-85.7603698 38.2129088)",Point 26,
"POINT (-85.7608379 38.2129668)",Point 27,
"POINT (-85.7608607 38.2128593)",Point 28,Duthie Center
"POINT (-85.7612991 38.213499)",Point 29,
"POINT (-85.7615633 38.2135232)",Point 30,Vogt Building
"POINT (-85.7621583 38.2136203)",Point 31,
"POINT (-85.7610303 38.2129863)",Point 32,
"POINT (-85.7610168 38.2130685)",Point 33,JB Speed Southwest
"POINT (-85.7606484 38.2129444)",Point 34,
"POINT (-85.7606296 38.2130308)",Point 35,JB Speed Southeast
"POINT (-85.7604227 38.2126445)",Point 36,
"POINT (-85.7606333 38.2126719)",Point 37,Duthie Center East
"POINT (-85.7602632 38.2129049)",Point 38,WS Speed East2
"POINT (-85.7602162 38.2132452)",Point 39,WS Speed East1
"POINT (-85.7613401 38.213369)",Point 40,Sackett Hall
"POINT (-85.7598284 38.2133407)",Point 41,
"POINT (-85.7595253 38.2133044)",Point 42,
"POINT (-85.7595307 38.2132659)",Point 43,Ernst Hall
"POINT (-85.760075 38.2128876)",Point 44,WS Speed West2
"POINT (-85.760468 38.2151023)",Point 45,Morgans area
"POINT (-85.7614215 38.213817)",Point 46,Doughtery Hall
"POINT (-85.7609798 38.2141971)",Point 47,Women's Center
"POINT (-85.7612737 38.2145993)",Point 48,Brigman Hall
"POINT (-85.7617255 38.2142701)",Point 49,Patterson Hall
"POINT (-85.7620524 38.2143475)",Point 50,S. 3rd St. Bus Stop
"POINT (-85.7619384 38.2145359)",Point 51,UofL Department of Criminal Justice
"POINT (-85.7617842 38.2145823)",Point 52,McCandless Hall
"POINT (-85.7608815 38.2146616)",Point 53,West Information Center
"POINT (-85.7601615 38.2150961)",Point 54,Grawemeyer Hall
"POINT (-85.7601901 38.213598)",Point 55,Eastern Pkwy Bus Stop
"POINT (-85.761086 38.2156166)",Point 56,Brandeis School of Law
"POINT (-85.7608916 38.2169978)",Point 57,Starbucks/Ekstrom Library
"POINT (-85.7598803 38.2168121)",Point 58,Ekstrom Library
"POINT (-85.760869 38.2161831)",Point 59,Brodschi Hall
"POINT (-85.7613615 38.2161186)",Point 60,Raymond Kent School of Social Work
"POINT (-85.7629691 38.2209673)",Point 61,Bettie Johnson
"POINT (-85.762688 38.2209829)",Point 62,The Comfy Cow
"POINT (-85.7626478 38.2201253)",Point 63,Insomnia Cookies
"POINT (-85.7617767 38.2152472)",Point 64,
"POINT (-85.7588144 38.2175485)",Point 65,
"POINT (-85.7588547 38.218109)",Point 66,
"POINT (-85.7600348 38.2181687)",Point 67,
"POINT (-85.7608824 38.2183542)",Point 68,
"POINT (-85.7605578 38.2192107)",Point 69,
"POINT (-85.7598633 38.2191563)",Point 70,
"POINT (-85.7584419 38.2184221)",Point 71,
"POINT (-85.761802 38.2189341)",Point 72,
"POINT (-85.761629 38.219168)",Point 73,
"POINT (-85.7633183 38.2195373)",Point 74,
"POINT (-85.76249 38.2187913)",Point 75,
"POINT (-85.7634297 38.2167615)",Point 76,s. 4th street bus stop
"POINT (-85.7636959 38.2164153)",Point 77,s. 4th st bus stop
"POINT (-85.7596554 38.2141569)",Point 78,
"POINT (-85.7577052 38.2138122)",Point 79,
"POINT (-85.7582041 38.2136858)",Point 80,
"POINT (-85.759631 38.2137321)",Point 81,Natural Sciences Building
"POINT (-85.7601111 38.2137806)",Point 82,Natural Sciences Building
"POINT (-85.7596552 38.2139703)",Point 83,NS Building
"POINT (-85.7584133 38.2142864)",Point 84,
"POINT (-85.7592153 38.2143875)",Point 85,
"POINT (-85.7587781 38.2136858)",Point 86,
"POINT (-85.7590651 38.2138691)",Point 87,
"POINT (-85.7613139 38.2140566)",Point 88,
"POINT (-85.7618074 38.2140355)",Point 89,
"POINT (-85.760705 38.2140545)",Point 90,
"POINT (-85.7612596 38.2148242)",Point 91,
"POINT (-85.7601353 38.216006)",Point 92,
"POINT (-85.7615536 38.2162265)",Point 93,
"POINT (-85.7617833 38.2164595)",Point 94,
"POINT (-85.7612724 38.2163931)",Point 95,
"POINT (-85.7619183 38.2167953)",Point 96,
"POINT (-85.7593346 38.2169877)",Point 97,
"POINT (-85.7547985 38.2179095)",Point 98,SAC West
"POINT (-85.7549717 38.2172973)",Point 99,SAC Starbucks South
"POINT (-85.7549805 38.2175281)",Point 100,SAC Starbucks West
"POINT (-85.7553556 38.2174641)",Point 101,SAC West
"POINT (-85.7567025 38.2165618)",Point 102,SAC Canon Print
"POINT (-85.7566829 38.2170478)",Point 103,SAC Marketplace 2
"POINT (-85.7564585 38.2172719)",Point 104,SAC Marketplace
"POINT (-85.7562657 38.2174257)",Point 105,SAC Main
"POINT (-85.7562429 38.2176301)",Point 106,SAC East
"POINT (-85.7569496 38.2174573)",Point 107,SAC Bridge Stairs
"POINT (-85.7563809 38.2177855)",Point 108,Red Barn
"POINT (-85.7577695 38.2173945)",Point 109,Campus Ministry West
"POINT (-85.7570241 38.2169438)",Point 110,SAC Dorm West
"POINT (-85.7555998 38.2169906)",Point 111,SAC Parking North
"POINT (-85.7548837 38.2168537)",Point 112,SAC Parking West
"POINT (-85.7560365 38.2185014)",Point 113,University Club South
"POINT (-85.755775 38.2185731)",Point 114,University Club West
"POINT (-85.7564389 38.2187669)",Point 115,University Club East
"POINT (-85.756996 38.2186969)",Point 116,Cultural Center North
"POINT (-85.758694 38.2181059)",Point 117,Davidson Hall East
"POINT (-85.7585036 38.2180964)",Point 118,Davidson Hall West
"POINT (-85.7587386 38.2184516)",Point 119,Davidson Hall North
"POINT (-85.7574986 38.21755)",Point 120,Intersection
"POINT (-85.7581679 38.2187752)",Point 121,North Information Center
"POINT (-85.7578837 38.2177447)",Point 122,Baptist Center
"POINT (-85.7590789 38.2186513)",Point 123,Planetarium South
"POINT (-85.7590898 38.2189355)",Point 124,Planetarium North
"POINT (-85.7593489 38.2181054)",Point 125,Strickler Hall West
"POINT (-85.759815 38.2179825)",Point 126,Strickler Hall East
"POINT (-85.760802 38.2188175)",Point 127,Robbins Hall
"POINT (-85.7580522 38.217463)",Point 128,Campus Ministry East
"POINT (-85.7575817 38.2187108)",Point 129,East Brandeis Parking
